,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
3891,Chhattisgarh,2002,12. Total Crimes Against Women,2187,46,3520,1163,1649,34,3566,7,120,189,13478,14957,3538,3520,3836,0,0,18477,4055,881,5107,5031,2356,85,154,18179,7,6411,20440,25471
3892,Dadra & Nagar Haveli,2002,12. Total Crimes Against Women,20,2,16,0,2,1,18,0,4,8,57,63,15,16,22,0,0,79,36,0,19,25,2,8,2,92,0,38,105,130
3893,Daman & Diu,2002,12. Total Crimes Against Women,5,3,5,0,0,0,8,0,2,2,12,12,8,5,5,0,0,17,30,0,14,12,0,1,3,37,0,30,55,67
3894,Delhi,2002,12. Total Crimes Against Women,583,373,1499,0,265,162,1872,40,1515,1392,5243,4592,2216,1499,848,0,19,6091,1231,0,3080,2745,437,997,1256,14267,76,1668,13190,15935
3895,Goa,2002,12. Total Crimes Against Women,33,6,63,4,45,0,69,0,29,22,174,194,76,63,78,1,0,256,57,10,135,129,98,30,32,343,4,155,379,508
3896,Gujarat,2002,12. Total Crimes Against Women,2375,228,4858,440,196,229,5086,14,390,346,30967,29120,5373,4858,2571,0,0,33978,5801,1106,12563,12519,286,615,643,73515,16,6087,68189,80708
3897,Haryana,2002,12. Total Crimes Against Women,1970,346,3546,87,1581,562,3892,0,267,336,7332,7424,4385,3546,3551,0,0,10970,4863,79,7031,7126,2023,346,245,17481,6,6886,17320,24446
3898,Himachal Pradesh,2002,12. Total Crimes Against Women,381,8,680,101,57,118,688,0,180,148,2806,2665,838,680,438,0,0,3345,706,186,1245,1182,79,167,196,5025,34,785,4814,5996
3899,Jammu & Kashmir,2002,12. Total Crimes Against Women,898,45,1647,91,152,212,1692,0,569,457,5337,4831,2016,1647,1050,0,0,6478,1893,184,2764,2716,213,8,44,11805,12,2106,11379,14095
3900,Jharkhand,2002,12. Total Crimes Against Women,1534,155,1959,88,400,85,2114,0,1158,867,7077,7155,2490,1959,1934,15,0,9099,3340,218,3765,3896,679,2122,1611,8601,380,4019,8942,12838
3901,Karnataka,2002,12. Total Crimes Against Women,2649,347,5338,534,1385,489,5685,67,928,999,12223,11453,6170,5338,4034,0,0,16791,5950,981,10047,9476,2202,1157,1364,20097,364,8152,19754,29230
3902,Kerala,2002,12. Total Crimes Against Women,1921,97,4987,479,266,603,5084,67,1766,1691,17120,14799,5829,4987,2187,0,0,19786,3856,727,8968,8884,594,1920,1891,28340,113,4450,24633,33517
3903,Lakshadweep,2002,12. Total Crimes Against Women,0,0,1,0,1,0,1,0,1,0,1,1,2,1,1,0,0,2,0,0,3,1,1,0,2,1,0,1,1,2
3904,Madhya Pradesh,2002,12. Total Crimes Against Women,5587,236,14984,3169,2605,182,15220,3,648,793,46559,42938,15260,14984,8192,2,0,57920,10525,4598,25388,25549,4862,503,341,74541,1,15387,68977,94526
3905,Maharashtra,2002,12. Total Crimes Against Women,8778,168,10764,1526,679,177,10932,1,2392,2180,84326,84545,11322,10764,9457,0,0,95309,21795,2897,30106,30321,1430,3919,3616,189996,88,23225,185797,216118
3906,Manipur,2002,12. Total Crimes Against Women,0,132,18,0,7,0,150,2,130,112,81,70,170,18,7,0,0,88,0,0,161,39,30,40,67,166,95,30,157,196
3907,Meghalaya,2002,12. Total Crimes Against Women,10,14,39,2,5,0,53,0,126,108,439,417,71,39,15,0,0,456,11,1,80,58,4,92,101,541,13,15,499,557
3908,Mizoram,2002,12. Total Crimes Against Women,14,3,95,0,48,0,98,0,72,16,136,103,154,95,62,0,0,198,8,0,155,159,92,43,39,182,0,100,123,282
3909,Nagaland,2002,12. Total Crimes Against Women,0,2,20,0,8,0,22,0,42,39,106,95,26,20,8,1,1,114,0,1,49,22,16,57,61,107,23,16,102,124
3910,Odisha,2002,12. Total Crimes Against Women,2453,160,4280,17,423,254,4440,3,1737,1655,16656,15270,4779,4280,2876,1,0,19549,4518,18,7413,7264,776,376,516,26793,9,5294,24841,32105
3911,Puducherry,2002,12. Total Crimes Against Women,21,0,130,19,52,2,130,3,17,11,148,110,141,130,73,0,0,240,45,20,246,233,105,13,26,240,0,150,177,410
3912,Punjab,2002,12. Total Crimes Against Women,644,365,1591,39,450,309,1956,25,1382,1377,3083,2625,2295,1591,1094,0,0,4216,1552,99,4724,4454,943,3648,3466,8243,452,2495,6383,10837
3913,Rajasthan,2002,12. Total Crimes Against Women,3994,235,7275,1099,2622,4333,7510,0,690,484,27629,28069,12049,7275,6616,0,0,35344,8803,2062,13295,13322,4873,109,77,55048,5,13676,57464,70786
3914,Sikkim,2002,12. Total Crimes Against Women,8,11,14,8,12,0,25,0,9,6,12,26,28,14,20,0,0,40,5,1,24,10,4,9,14,4,9,9,4,14
3915,Tamil Nadu,2002,12. Total Crimes Against Women,2266,143,8963,108,6231,621,9106,81,1050,1077,8980,8622,9798,8963,8497,0,17,17585,4976,103,12756,12815,8245,2038,1617,14883,362,13221,15392,28207
3916,Tripura,2002,12. Total Crimes Against Women,190,48,461,3,46,0,509,0,323,296,803,581,536,461,236,0,0,1042,344,20,558,414,55,209,219,609,134,399,614,1028
3917,Uttar Pradesh,2002,12. Total Crimes Against Women,5796,2189,13740,1192,7030,1451,15929,0,905,2638,43176,43454,15647,13740,12826,0,0,57194,14863,3189,35542,35692,17091,5254,2669,110795,2435,31954,110246,145938
3918,Uttarakhand,2002,12. Total Crimes Against Women,150,143,646,25,258,59,789,0,99,77,1499,1286,870,646,408,0,0,1932,292,48,1750,1244,483,203,247,3560,462,775,3139,4383
3919,West Bengal,2002,12. Total Crimes Against Women,4192,774,6999,10,805,52,7773,8,6049,7040,39635,37643,6842,6999,4997,0,0,44642,7061,20,14160,10990,1178,6875,8693,52763,1352,8239,50032,61022
3920,Andaman & Nicobar Islands,2003,12. Total Crimes Against Women,11,1,18,0,3,0,19,0,7,4,179,175,22,18,14,0,0,193,13,0,36,24,3,4,12,233,4,16,225,249
3921,Andhra Pradesh,2003,12. Total Crimes Against Women,7092,235,14349,2341,3613,3428,14584,119,4557,4307,21951,20649,18382,14349,10705,1,1,34997,15118,3961,29101,28602,4819,8657,8195,38696,961,19937,33992,62594
3922,Arunachal Pradesh,2003,12. Total Crimes Against Women,2,30,100,1,4,0,130,0,49,40,876,783,139,100,6,0,0,883,2,0,160,87,2,92,94,1048,71,4,965,1052
3923,Assam,2003,12. Total Crimes Against Women,1827,1266,3318,338,342,767,4584,11,5536,5586,8948,8137,5312,3318,2169,0,0,11455,3062,589,7551,4995,521,5777,6183,12165,2150,3583,11342,16337
3924,Bihar,2003,12. Total Crimes Against Women,2450,739,4067,239,643,372,4806,0,4166,3444,17497,16771,5900,4067,3093,9,0,20829,5937,811,11323,9444,1447,4700,4677,46323,1902,7384,45074,54518
3925,Chandigarh,2003,12. Total Crimes Against Women,31,21,91,0,23,32,112,0,62,47,358,321,159,91,54,0,0,412,94,0,206,154,24,28,54,742,26,118,706,860
3926,Chhattisgarh,2003,12. Total Crimes Against Women,937,54,3104,1340,711,32,3158,4,275,133,13579,13463,3336,3104,1648,0,0,16567,1751,1753,4869,4866,1048,162,164,20365,1,2799,20051,24917
3927,Dadra & Nagar Haveli,2003,12. Total Crimes Against Women,7,1,8,0,2,1,9,0,7,4,56,57,13,8,9,0,0,65,14,0,24,18,5,2,7,96,1,19,97,115
3928,Daman & Diu,2003,12. Total Crimes Against Women,2,3,5,0,0,0,8,0,4,2,13,10,10,5,2,0,0,15,2,0,10,8,5,3,4,39,1,7,38,46
3929,Delhi,2003,12. Total Crimes Against Women,888,410,1714,0,322,230,2124,41,2397,1515,5747,5243,3282,1714,1210,0,5,6957,1827,0,4789,4408,657,1256,1563,16191,74,2484,14267,18675
3930,Goa,2003,12. Total Crimes Against Women,32,11,76,7,35,0,87,0,63,29,176,174,121,76,67,0,0,250,62,10,191,143,85,32,70,329,10,147,343,486
3931,Gujarat,2003,12. Total Crimes Against Women,2461,270,5173,345,155,260,5443,14,408,390,33179,30967,5735,5173,2616,0,0,36140,5771,820,14060,13948,404,643,727,80468,28,6175,73515,87463
3932,Haryana,2003,12. Total Crimes Against Women,1738,275,3308,27,1495,619,3583,0,235,267,7380,7332,4170,3308,3233,0,0,10640,4237,15,6524,6553,2008,245,214,17774,2,6245,17481,24034
3933,Himachal Pradesh,2003,12. Total Crimes Against Women,432,13,639,121,77,107,652,0,150,180,2815,2806,729,639,509,0,0,3445,763,286,1083,1113,101,196,131,4988,35,864,5025,6138
3934,Jammu & Kashmir,2003,12. Total Crimes Against Women,761,30,1963,62,197,205,1993,0,535,569,6280,5337,2164,1963,958,0,0,7300,1314,137,3580,3606,282,44,15,13678,3,1596,11805,15411
3935,Jharkhand,2003,12. Total Crimes Against Women,1437,192,1971,103,357,65,2163,3,1415,1158,6993,7077,2488,1971,1794,158,0,8890,2105,214,3931,3515,725,1611,1760,9072,267,2830,8601,12116
3936,Karnataka,2003,12. Total Crimes Against Women,2655,215,5231,500,1422,406,5446,86,824,928,12877,12223,5834,5231,4077,0,0,17454,5808,645,10376,9632,2308,1364,1207,20968,901,8116,20097,29729
3937,Kerala,2003,12. Total Crimes Against Women,2266,108,4726,638,362,572,4834,74,1939,1766,18575,17120,5653,4726,2628,5,0,21841,4131,1143,8726,8170,578,1891,2150,30658,297,4709,28340,36510
3938,Lakshadweep,2003,12. Total Crimes Against Women,0,0,1,0,1,0,1,0,4,1,1,1,4,1,1,0,0,2,0,0,3,2,1,2,3,2,0,1,1,3
3939,Madhya Pradesh,2003,12. Total Crimes Against Women,7042,213,13996,3143,3488,144,14209,0,774,580,46341,46018,14547,13996,10530,0,0,60014,11152,4704,24089,24024,5562,258,321,81366,2,16714,78760,102784
3940,Maharashtra,2003,12. Total Crimes Against Women,7553,257,10729,1357,697,129,10986,0,2549,2392,85447,84326,11273,10729,8250,1,1,95054,20729,2383,29336,28619,1238,3616,4253,194265,80,21967,189996,218615
3941,Manipur,2003,12. Total Crimes Against Women,3,89,7,0,2,0,96,0,171,130,83,81,137,7,5,0,0,88,3,0,150,7,3,67,114,167,96,6,166,173
3942,Meghalaya,2003,12. Total Crimes Against Women,11,12,36,0,5,0,48,0,147,126,459,439,69,36,16,0,0,475,10,0,82,23,3,101,150,551,10,13,541,564
3943,Mizoram,2003,12. Total Crimes Against Women,11,6,160,1,67,0,166,0,26,45,268,187,147,160,78,0,0,347,18,0,173,144,200,37,66,106,0,218,180,324
3944,Nagaland,2003,12. Total Crimes Against Women,2,6,16,3,9,0,22,0,45,42,108,106,25,16,11,0,0,122,1,2,30,22,16,61,62,110,7,17,107,129
3945,Odisha,2003,12. Total Crimes Against Women,2555,167,4902,0,516,316,5069,3,1295,1737,18487,16656,4946,4902,3071,0,0,21558,4994,19,7805,7846,907,516,469,28719,6,5901,26793,34639
3946,Puducherry,2003,12. Total Crimes Against Women,22,1,107,22,29,3,108,2,25,17,182,148,121,107,51,0,0,255,45,39,221,219,90,26,28,285,0,135,240,459
3947,Punjab,2003,12. Total Crimes Against Women,786,371,1760,31,488,412,2131,12,1202,1382,3538,3083,2375,1760,1274,0,0,4843,1690,168,4192,3637,1126,3466,3491,8896,530,2816,8243,11880
3948,Rajasthan,2003,12. Total Crimes Against Women,3348,222,7151,1001,2062,4300,7373,0,829,690,28369,27629,11812,7151,5410,0,0,34780,6577,2074,12692,12669,3526,77,96,55540,4,10103,55048,67717
3949,Sikkim,2003,12. Total Crimes Against Women,5,5,25,14,9,1,30,0,15,9,9,12,37,25,14,0,0,37,3,2,36,24,3,14,19,20,7,6,4,28
3950,Tamil Nadu,2003,12. Total Crimes Against Women,2571,195,7541,54,3920,584,7736,60,1539,1051,10090,9106,8888,7541,6491,12,20,16635,4329,163,11721,11062,5378,1693,2171,16161,181,9707,14969,26031
3951,Tripura,2003,12. Total Crimes Against Women,195,110,450,0,80,0,560,0,300,323,978,803,537,450,275,0,0,1253,272,0,878,568,70,219,337,835,192,342,609,1177
3952,Uttar Pradesh,2003,12. Total Crimes Against Women,4725,820,11057,841,6322,733,11877,4,1131,905,42342,43176,12840,11057,11047,3,0,54230,10558,2544,23433,23406,13286,2669,2338,107813,358,23844,110795,134201
3953,Uttarakhand,2003,12. Total Crimes Against Women,154,122,654,38,313,69,776,0,140,99,1648,1499,886,654,467,0,0,2153,286,89,1827,1594,577,247,259,4202,221,863,3560,5154
3954,West Bengal,2003,12. Total Crimes Against Women,3555,454,7851,25,434,126,8305,8,6118,6049,43472,39635,8508,7851,3989,0,0,47486,7729,34,15992,14006,882,8693,8883,58124,1796,8611,52763,66769
3955,Andaman & Nicobar Islands,2004,12. Total Crimes Against Women,10,4,17,0,8,0,21,0,13,7,178,179,27,17,18,0,0,196,14,0,44,38,12,12,18,246,0,26,234,272
3956,Andhra Pradesh,2004,12. Total Crimes Against Women,7584,454,14411,2637,3326,2592,14865,63,5958,4557,22812,21951,18921,14411,10910,3,0,36359,13222,4776,28976,27139,5761,8195,8899,42076,1133,18983,38696,65835
3957,Arunachal Pradesh,2004,12. Total Crimes Against Women,4,26,100,4,11,0,126,0,71,49,957,876,148,100,15,0,0,976,6,6,162,118,17,94,85,1137,53,23,1048,1166
3958,Assam,2004,12. Total Crimes Against Women,2195,1348,3527,299,427,615,4875,1,5745,5536,9554,8948,5700,3527,2622,0,0,12475,3942,528,8117,5578,692,6183,6422,12581,2300,4634,12165,17743
3959,Bihar,2004,12. Total Crimes Against Women,2654,716,3989,92,530,420,4705,0,7132,4166,18210,17497,8091,3989,3184,0,0,21486,6051,245,12334,8997,930,4677,5725,48094,2289,6981,46323,55320
3960,Chandigarh,2004,12. Total Crimes Against Women,58,6,147,0,16,49,153,0,48,62,431,358,188,147,74,0,0,505,85,0,331,261,79,54,66,839,58,164,742,1003
3961,Chhattisgarh,2004,12. Total Crimes Against Women,1665,50,3767,1490,924,53,3817,2,166,275,13267,13579,3763,3767,2589,0,0,17346,3221,2744,6051,6130,1612,164,40,18918,45,4833,20365,26495
3962,Dadra & Nagar Haveli,2004,12. Total Crimes Against Women,18,0,18,0,0,0,18,0,11,7,54,54,22,18,18,0,0,72,28,0,32,29,0,7,10,97,0,28,96,125
3963,Daman & Diu,2004,12. Total Crimes Against Women,3,0,8,0,0,0,8,0,3,4,20,15,7,8,3,0,0,23,12,0,15,17,0,4,2,43,0,12,38,55
3964,Delhi,2004,12. Total Crimes Against Women,1313,414,2185,0,694,237,2599,32,3196,2397,5925,5747,3677,2185,2007,0,10,7932,1391,0,5196,4688,799,1563,2005,18689,66,2190,16191,20879
3965,Goa,2004,12. Total Crimes Against Women,36,25,105,9,29,0,130,0,65,63,207,176,132,105,65,0,0,281,70,18,227,189,56,70,94,374,14,126,329,518
3966,Gujarat,2004,12. Total Crimes Against Women,2557,210,5749,400,215,189,5959,6,465,408,35756,33179,6211,5749,2772,0,0,38928,6036,964,15549,15543,297,727,713,88714,20,6333,80468,96011
3967,Haryana,2004,12. Total Crimes Against Women,2010,283,3081,3,1276,747,3364,0,400,235,7172,7380,4276,3081,3286,0,0,10461,5034,9,6610,6404,1965,214,414,17170,6,6999,17774,24178
3968,Himachal Pradesh,2004,12. Total Crimes Against Women,474,16,681,193,70,119,697,0,157,150,2759,2815,823,681,544,0,0,3496,714,268,1203,1103,87,131,188,5022,43,801,4988,6091
3969,Jammu & Kashmir,2004,12. Total Crimes Against Women,984,61,1892,66,160,198,1953,0,592,535,6962,6280,2208,1892,1144,0,0,8172,2105,124,3345,3313,188,15,25,14574,22,2293,13678,16991
3970,Jharkhand,2004,12. Total Crimes Against Women,1437,192,1969,103,357,65,2161,3,1676,1415,6907,6993,2490,1969,1794,158,0,8804,2063,214,3931,3514,725,1760,1910,9584,267,2788,9072,12586
3971,Karnataka,2004,12. Total Crimes Against Women,3194,176,4711,376,1366,375,4887,55,917,824,12651,12877,5423,4711,4560,1,13,17587,5256,690,9154,9272,2440,1207,822,21854,267,7696,20968,30240
3972,Kerala,2004,12. Total Crimes Against Women,2844,131,5731,922,477,586,5862,90,1884,1939,20062,18575,6483,5731,3321,1,0,24305,5650,1255,9849,9572,737,2150,2204,32588,223,6387,30658,40230
3973,Lakshadweep,2004,12. Total Crimes Against Women,0,0,4,0,1,0,4,0,1,4,3,0,1,4,1,0,0,4,0,0,1,2,2,3,2,2,0,2,2,4
3974,Madhya Pradesh,2004,12. Total Crimes Against Women,6874,173,15056,3259,3518,143,15229,0,605,774,47746,46341,15203,15056,10392,0,0,61397,10778,5383,27027,27087,5412,321,255,86880,6,16190,81366,108453
3975,Maharashtra,2004,12. Total Crimes Against Women,7238,203,11381,1432,631,164,11584,3,2966,2549,87527,85447,12169,11381,7869,0,1,96828,18609,2963,30432,30240,1177,4253,4320,201756,125,19786,194265,224505
3976,Manipur,2004,12. Total Crimes Against Women,4,61,6,0,0,0,67,2,236,171,85,83,134,6,4,0,0,89,8,1,132,6,0,114,124,164,116,8,167,173
3977,Meghalaya,2004,12. Total Crimes Against Women,10,14,43,2,4,0,57,0,203,147,486,459,113,43,14,0,0,502,11,2,96,50,4,150,180,584,16,15,551,601
3978,Mizoram,2004,12. Total Crimes Against Women,41,13,78,1,182,0,91,0,26,26,122,268,91,78,223,0,0,346,3,1,79,58,8,66,80,152,7,11,106,164
3979,Nagaland,2004,12. Total Crimes Against Women,0,5,50,0,78,0,55,0,20,45,80,108,30,50,78,0,0,158,13,0,36,75,97,62,23,75,0,110,110,185
3980,Odisha,2004,12. Total Crimes Against Women,3115,110,4724,23,482,258,4834,0,1440,1295,19589,18487,5239,4724,3597,2,2,23209,4861,49,7884,7691,859,469,662,30641,0,5720,28719,36410
3981,Puducherry,2004,12. Total Crimes Against Women,42,0,101,20,25,3,101,5,26,25,196,182,110,101,67,0,0,283,82,46,173,164,43,28,37,278,0,125,285,449
3982,Punjab,2004,12. Total Crimes Against Women,791,309,1460,60,466,263,1769,22,1103,1202,3681,3538,1955,1460,1257,0,0,4998,1818,153,3642,4031,1031,3491,2577,9925,525,2849,8896,12927
3983,Rajasthan,2004,12. Total Crimes Against Women,3378,225,8206,979,2480,4808,8431,0,717,829,29738,28369,13127,8206,5858,0,0,36575,6555,1670,14640,14639,4613,96,96,57341,1,11168,55540,70179
3984,Sikkim,2004,12. Total Crimes Against Women,4,6,25,6,4,0,31,0,33,15,20,9,49,25,8,0,0,34,6,8,69,40,2,19,38,44,10,8,20,60
3985,Tamil Nadu,2004,12. Total Crimes Against Women,2644,295,8514,133,4889,539,8809,76,1445,1539,10938,10090,9332,8514,7533,0,2,18604,5041,174,12750,12465,6032,2171,2268,17379,188,11073,16161,28626
3986,Tripura,2004,12. Total Crimes Against Women,272,83,568,0,85,15,651,0,304,300,1189,978,670,568,357,0,0,1546,328,76,983,890,136,337,197,1185,233,464,835,1725
3987,Uttar Pradesh,2004,12. Total Crimes Against Women,4467,1747,12186,1198,6518,1026,13933,0,1657,1131,42345,42342,15485,12186,10985,0,0,54528,10501,3621,32979,29866,13938,2338,3709,109619,1742,24439,107813,137679
3988,Uttarakhand,2004,12. Total Crimes Against Women,123,131,784,43,266,67,915,0,146,140,2000,1648,988,784,389,0,0,2432,329,69,2660,2116,689,259,420,5231,383,1018,4202,6318
3989,West Bengal,2004,12. Total Crimes Against Women,2442,840,9731,18,384,79,10571,3,6512,6118,50359,43472,11047,9731,2826,0,0,53203,6421,32,16613,14345,729,8883,9661,65287,1490,7150,58124,72469
3990,Andaman & Nicobar Islands,2005,12. Total Crimes Against Women,6,5,14,0,1,0,19,0,16,13,185,178,22,14,7,0,0,192,12,0,32,23,2,18,27,255,0,14,246,269
3991,Andhra Pradesh,2005,12. Total Crimes Against Women,8002,387,18226,3119,5353,2634,18613,0,5528,5958,24564,22812,20819,18226,13355,0,2,41038,14596,4976,31136,30369,7543,8899,8820,45330,846,22139,42076,72445
3992,Arunachal Pradesh,2005,12. Total Crimes Against Women,29,44,122,14,38,0,166,0,55,71,998,957,150,122,67,0,0,1079,30,14,129,105,45,85,59,1153,50,75,1137,1242
3993,Assam,2005,12. Total Crimes Against Women,2176,1369,3876,403,524,510,5245,1,6016,5745,10327,9554,6027,3876,2700,0,0,13430,3663,506,8760,5934,762,6422,6754,13584,2494,4425,12581,18515
3994,Bihar,2005,12. Total Crimes Against Women,2821,437,4267,68,626,384,4704,0,8063,7132,18962,18210,6019,4267,3447,0,0,22477,6178,183,11220,9280,1035,5725,6433,49978,1232,7213,48094,57374
3995,Chandigarh,2005,12. Total Crimes Against Women,45,9,141,0,12,28,150,0,75,48,515,431,205,141,57,0,0,572,80,0,306,247,17,66,98,989,27,97,839,1086
3996,Chhattisgarh,2005,12. Total Crimes Against Women,1841,74,3417,462,1085,10,3491,4,248,166,13296,13267,3599,3417,2926,0,12,16684,2789,1485,5491,5435,1683,40,88,18396,8,4472,18918,24353
3997,Dadra & Nagar Haveli,2005,12. Total Crimes Against Women,24,0,18,0,0,4,18,0,13,11,50,56,24,18,24,0,0,74,37,0,35,33,0,10,12,93,0,37,97,130
3998,Daman & Diu,2005,12. Total Crimes Against Women,4,1,8,0,0,0,9,0,4,3,25,21,10,8,4,0,0,29,7,0,17,18,0,2,1,54,0,7,43,61
3999,Delhi,2005,12. Total Crimes Against Women,1483,399,2552,0,473,178,2951,24,4368,3196,6521,5925,4351,2552,1956,0,26,8477,2631,0,5853,5238,798,2005,2439,20498,181,3429,18689,23927
4000,Goa,2005,12. Total Crimes Against Women,26,18,97,7,47,1,115,0,70,65,224,207,121,97,73,0,0,304,48,13,229,196,105,94,108,404,19,153,374,570
4001,Gujarat,2005,12. Total Crimes Against Women,2766,246,5834,331,345,131,6080,2,595,465,38148,35756,6343,5834,3111,0,0,41590,6275,820,16510,16314,555,713,906,97378,3,6830,88714,105028
4002,Haryana,2005,12. Total Crimes Against Women,1562,240,2914,10,741,853,3154,0,554,400,7773,7172,4161,2914,2303,0,0,10086,3800,54,6275,6264,1159,414,421,18421,4,4959,17170,23434
4003,Himachal Pradesh,2005,12. Total Crimes Against Women,633,13,668,138,73,106,681,0,163,157,2583,2759,793,668,706,0,0,3427,1087,233,1267,1242,102,188,194,4842,19,1189,5022,6264
4004,Jammu & Kashmir,2005,12. Total Crimes Against Women,996,35,1781,81,104,205,1816,0,715,592,7562,6962,2144,1781,1100,0,0,8743,1981,200,3163,3039,136,25,23,15296,126,2117,14574,17613
4005,Jharkhand,2005,12. Total Crimes Against Women,1620,268,1790,99,475,90,2058,0,2072,1676,6498,6907,2544,1790,2095,5,0,8692,4474,586,3432,2367,721,1910,2312,6170,663,5195,9584,11951
4006,Karnataka,2005,12. Total Crimes Against Women,3737,163,5102,429,1238,419,5265,78,1196,917,12349,12651,6057,5102,4975,0,16,17753,6965,644,10590,10335,2375,822,820,22205,257,9340,21854,32189
4007,Kerala,2005,12. Total Crimes Against Women,3104,111,5929,389,461,478,6040,0,2128,1884,22037,20062,6762,5929,3565,0,0,25991,5897,700,10669,10155,929,2204,2526,35217,192,6826,32588,42743
4008,Lakshadweep,2005,12. Total Crimes Against Women,0,0,1,0,0,0,1,0,0,1,4,3,0,1,0,0,0,4,0,0,0,0,0,1,1,2,0,0,2,2
4009,Madhya Pradesh,2005,12. Total Crimes Against Women,6985,196,13939,3746,3301,132,14135,0,867,605,47650,47746,14529,13939,10286,3,0,61682,12773,5518,24254,24298,5836,255,205,87051,6,18609,86880,111178
4010,Maharashtra,2005,12. Total Crimes Against Women,7648,243,12625,1162,616,172,12868,13,3283,2966,90721,87527,13370,12625,8264,5,0,100147,19642,2644,34156,33326,944,4320,5085,211852,65,20586,201756,235082
4011,Manipur,2005,12. Total Crimes Against Women,4,84,11,0,0,1,95,1,279,236,92,85,140,11,4,0,0,96,4,0,127,11,0,124,107,171,133,4,164,175
4012,Meghalaya,2005,12. Total Crimes Against Women,11,24,62,1,4,1,86,0,247,203,532,486,131,62,15,0,0,548,33,0,106,53,4,180,213,600,20,37,584,637
4013,Mizoram,2005,12. Total Crimes Against Women,11,2,89,11,29,0,91,0,30,26,160,122,95,89,40,0,0,211,4,0,85,70,169,80,95,49,0,173,152,222
4014,Nagaland,2005,12. Total Crimes Against Women,32,16,29,0,34,0,45,0,10,20,43,80,37,29,66,0,2,109,8,0,37,40,49,23,15,58,5,57,75,115
4015,Odisha,2005,12. Total Crimes Against Women,2557,93,5015,14,377,336,5108,3,2242,1440,21656,19589,6249,5015,2934,0,0,24604,4765,1,9524,9368,693,662,791,34550,27,5458,30641,40009
4016,Puducherry,2005,12. Total Crimes Against Women,29,0,109,26,36,2,109,1,41,26,214,196,127,109,65,0,0,305,45,40,191,177,54,37,51,315,0,99,277,454
4017,Punjab,2005,12. Total Crimes Against Women,687,230,1381,31,224,271,1611,13,1177,1103,4120,3681,1969,1381,911,0,0,5062,1498,157,3303,3027,498,2577,2571,10799,282,1996,9925,12952
4018,Rajasthan,2005,12. Total Crimes Against Women,3052,273,7393,1281,2383,4194,7666,0,514,717,30415,29738,11657,7393,5435,0,0,37131,5492,2200,12838,12856,4042,96,74,58463,4,9534,57341,70197
4019,Sikkim,2005,12. Total Crimes Against Women,10,10,26,10,6,0,36,0,59,33,20,20,62,26,16,0,0,46,10,10,42,25,5,38,21,44,34,15,44,69
4020,Tamil Nadu,2005,12. Total Crimes Against Women,3458,266,7877,64,4630,678,8143,31,1241,1445,10655,10938,8648,7877,8088,8,0,18807,5727,39,12275,12471,6152,2268,1797,17888,275,11879,17335,29806
4021,Tripura,2005,12. Total Crimes Against Women,415,124,742,0,111,4,866,0,274,304,1405,1189,840,742,526,0,0,1931,815,8,1308,1090,192,197,358,1260,57,1007,1185,2275
4022,Uttar Pradesh,2005,12. Total Crimes Against Women,4418,1619,12316,981,6484,908,13935,0,1689,1657,42778,42345,14875,12316,10902,0,0,54661,10973,3024,32720,31006,14537,3709,4103,112091,1320,25510,109619,140625
4023,Uttarakhand,2005,12. Total Crimes Against Women,195,111,603,67,183,56,714,0,162,146,2158,2000,786,603,378,0,0,2603,359,68,1648,1465,382,420,374,5887,229,741,5231,6696
4024,West Bengal,2005,12. Total Crimes Against Women,3680,582,11199,34,812,48,11781,4,6566,6512,57032,50359,11887,11199,4492,0,0,61558,7734,60,19227,17324,1261,9661,9949,73556,1615,8995,65287,82611
4025,Andaman & Nicobar Islands,2006,12. Total Crimes Against Women,7,5,39,0,1,0,44,0,8,16,216,185,36,39,8,0,0,224,7,0,49,63,1,27,13,310,0,8,255,318
4026,Andhra Pradesh,2006,12. Total Crimes Against Women,7242,398,16139,3422,3579,2560,16537,1,7914,5528,26458,24564,21484,16139,10821,2,0,40701,17063,6559,30660,27617,5892,8820,10782,43433,1081,22955,45330,72947
